iter	Passed	Remaining
0	140	139870
1	143	71360
2	147	48944
3	150	37406
4	153	30453
5	156	25914
6	159	22557
7	161	20068
8	164	18136
9	168	16646
10	173	15600
11	175	14440
12	177	13487
13	178	12606
14	184	12089
15	186	11474
16	189	10932
17	191	10444
18	193	10011119	196	9614220	198	9261221	199	8880222	202	8601223	204	8332224	207	8075225	210	7893
26	213	7683227	217	7542
28	219	7348
29	221	7168
30	223	6996
31	226	6836332	228	6691333	230	6554334	233	6439
35	235	6317
36	238	6200
37	239	6069
38	243	5989
39	244	5872
40	247	5783441	249	5700442	252	5611443	254	5531444	256	5450445	259	5374446	261	5299447	264	525448	266	5168
49	268	5102
550	271	5055551	274	499752	275	4923
553	279	4887554	281	483855	283	4773
56	285	4721
57	288	4679
58	290	4637
59	291	4573
60	294	4533
61	297	4496
62	299	4457
63	301	4405
64	304	4377
65	306	4338
66	309	4305
67	311	4270
68	313	4234
69	316	4200
70	318	4166
71	320	4133
72	322	4099
73	325	4072
74	327	4039
75	329	4011
76	331	3979
77	334	3948
78	337	3928
79	339	3904
80	341	3879
81	344	3851
82	346	3824
83	348	3800
84	351	3787
85	353	3761
86	356	3736
87	358	3714
88	360	3690
89	362	3664
90	365	3646
991	368	3634992	373	3642993	376	3629
94	379	3611995	384	3621
96	386	3599997	390	3597998	393	3583999	396	3566
100	399	3553
101	401	3534
102	405	3527
103	407	3511
104	409	3493
105	412	3475
106	414	3461
107	417	3445
108	419	3429
109	421	3411
110	423	3395
111	426	3380
112	428	3363
113	430	3349
114	433	3337
115	436	3328
116	438	3311
117	441	3296
118	443	3283
119	446	3270
120	448	3257
121	451	3247
122	453	3233
123	455	3217
124	457	3203
125	459	3190
126	461	3175
127	464	3163
128	467	31571129	469	3143
130	472	3131
131	473	31161132	477	3112
133	479	31001134	483	31001135	486	3091
136	488	3079
137	491	3072
138	494	3062
139	496	3052
140	499	3044
141	502	3034
142	504	3023
143	506	3012
144	509	30011145	511	29891146	513	29811147	516	29711148	519	29651149	521	2956
150	525	2954
151	527	2943
152	531	2939
153	533	2929
154	535	2918
155	537	2909
156	540	2900
157	542	2892
158	545	2885
159	547	2875
160	552	2878
161	555	2873
162	558	2868
163	561	2864
164	564	2857
165	567	2848
166	569	2841
167	571	2831
168	574	2822
169	577	2820
170	579	2811
171	582	2802
172	584	2791
173	586	2785
174	588	2775
175	593	2776
176	595	2769
177	597	2760
178	600	2753
179	602	2745180	612	2772
181	614	2762
182	616	2753
183	619	2746
184	621	2737
185	622	2724
186	625	2718
187	628	2713
188	630	2705
189	632	2698
190	635	2689
191	637	2683
192	639	2674
193	642	2669
194	644	2661
195	647	2654
196	649	2646
197	652	2643
198	655	2636
199	657	2630
200	659	2623
201	662	2615
202	665	2614
203	668	2607
